============== 거래 내역 ==============
[2025-08-18 17:30] 🟦 매수 | 가격: 160,099,000 | 수량: 0.003630 | 총 매수가격: 581,500 | 남은 자본: 2,326,000원
[2025-08-18 18:00] 🟦 매수 | 가격: 160,099,000 | 수량: 0.002904 | 총 매수가격: 465,200 | 남은 자본: 1,860,800원
[2025-08-18 18:30] 🟦 매수 | 가격: 160,099,000 | 수량: 0.002323 | 총 매수가격: 372,160 | 남은 자본: 1,488,640원
[2025-08-18 19:00] 🟦 매수 | 가격: 160,099,000 | 수량: 0.001859 | 총 매수가격: 297,728 | 남은 자본: 1,190,912원
[2025-08-18 19:30] 🟦 매수 | 가격: 160,099,000 | 수량: 0.001487 | 총 매수가격: 238,182 | 남은 자본: 952,730원
[2025-08-18 20:00] 🟦 매수 | 가격: 160,099,000 | 수량: 0.001190 | 총 매수가격: 190,546 | 남은 자본: 762,184원
[2025-08-18 20:30] 🟦 매수 | 가격: 160,099,000 | 수량: 0.000952 | 총 매수가격: 152,437 | 남은 자본: 609,747원
[2025-08-20 01:00] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000770 | 총 매수가격: 121,949 | 남은 자본: 487,798원
[2025-08-20 01:30] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000616 | 총 매수가격: 97,559 | 남은 자본: 390,238원
[2025-08-20 02:00] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000493 | 총 매수가격: 78,048 | 남은 자본: 312,190원
[2025-08-20 02:30] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000394 | 총 매수가격: 62,438 | 남은 자본: 249,752원
[2025-08-20 03:00] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000315 | 총 매수가격: 49,950 | 남은 자본: 199,802원
[2025-08-20 03:30] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000252 | 총 매수가격: 39,960 | 남은 자본: 159,842원
[2025-08-20 04:00] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000202 | 총 매수가격: 31,968 | 남은 자본: 127,873원
[2025-08-20 04:30] 🟦 매수 | 가격: 158,388,000 | 수량: 0.000161 | 총 매수가격: 25,575 | 남은 자본: 102,299원
[2025-08-20 05:00] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000130 | 총 매수가격: 20,460 | 남은 자본: 81,839원
[2025-08-20 05:30] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000104 | 총 매수가격: 16,368 | 남은 자본: 65,471원
[2025-08-20 06:00] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000083 | 총 매수가격: 13,094 | 남은 자본: 52,377원
[2025-08-20 06:30] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000067 | 총 매수가격: 10,475 | 남은 자본: 41,901원
[2025-08-20 07:00] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000053 | 총 매수가격: 8,380 | 남은 자본: 33,521원
[2025-08-20 07:30] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000043 | 총 매수가격: 6,704 | 남은 자본: 26,817원
[2025-08-20 08:00] 🟦 매수 | 가격: 157,172,000 | 수량: 0.000034 | 총 매수가격: 5,363 | 남은 자본: 21,454원
========================================
